Time,X,Y,Z
1718247406.2594545,-0.0030260272324085236,-2.3731963634490967,-2.8736629486083984
1718247406.3605537,-0.0029587214812636375,-2.3730103969573975,-2.8734498023986816
1718247406.461181,-0.0030517112463712692,-2.3732662200927734,-2.8738300800323486
1718247406.5617676,-0.0030467594042420387,-2.373178720474243,-2.8735575675964355
1718247406.6625764,-0.003098035231232643,-2.373387098312378,-2.8740367889404297
1718247406.7632012,-0.0030499554704874754,-2.37321400642395,-2.8736650943756104
1718247406.8636339,-0.0030764522962272167,-2.3734371662139893,-2.8739852905273438
1718247406.9640205,-0.0027752260211855173,-2.372800350189209,-2.873173236846924
1718247407.0644917,-0.003103136084973812,-2.3722481727600098,-2.87255859375
1718247407.1649182,-0.0030093081295490265,-2.3717565536499023,-2.8719639778137207
1718247407.2654793,-0.0030248574912548065,-2.3724377155303955,-2.872899293899536
1718247407.3657856,-0.002912588883191347,-2.3719825744628906,-2.8723528385162354
1718247407.466448,-0.0030928526539355516,-2.371276617050171,-2.87146258354187
1718247407.5666995,-0.003085761098191142,-2.3726632595062256,-2.8733372688293457
1718247407.667333,-0.003052664455026388,-2.3729372024536133,-2.873347043991089
1718247407.7678392,-0.002848666161298752,-2.3729496002197266,-2.8733739852905273
1718247407.8681397,-0.002996034687384963,-2.373345375061035,-2.873842477798462
1718247407.9686508,-0.0031483995262533426,-2.373333692550659,-2.8740639686584473
1718247408.0692375,-0.003128813812509179,-2.373511791229248,-2.873960256576538
1718247408.169586,-0.002731248503550887,-2.373357057571411,-2.8738596439361572
1718247408.2700086,-0.002846856601536274,-2.373382568359375,-2.8740901947021484
1718247408.3703089,-0.003102098824456334,-2.3736250400543213,-2.874009132385254
1718247408.4705298,-0.0029104966670274734,-2.3733479976654053,-2.873936653137207
1718247408.5709798,-0.0030460937414318323,-2.37296199798584,-2.8731565475463867
1718247408.6715178,-0.0028844354674220085,-2.374242067337036,-2.875122547149658
1718247408.772175,-0.0030567804351449013,-2.374384641647339,-2.8752126693725586
1718247408.872702,-0.0030440115369856358,-2.374887466430664,-2.8754990100860596
1718247408.9733322,-0.0029843407683074474,-2.3749547004699707,-2.875723123550415
1718247409.0739121,-0.0030395977664738894,-2.374688148498535,-2.875342845916748
1718247409.1745856,-0.003045907011255622,-2.3744094371795654,-2.874910593032837
1718247409.2751622,-0.0029038251377642155,-2.3741869926452637,-2.8748412132263184
1718247409.375885,-0.0030731798615306616,-2.374619483947754,-2.8754937648773193
1718247409.4766443,-0.002736387075856328,-2.37463116645813,-2.8755080699920654
1718247409.5769322,-0.0030955153051763773,-2.3748679161071777,-2.875678777694702
1718247409.67747,-0.0030523273162543774,-2.3749022483825684,-2.8758015632629395
1718247409.7779224,-0.0026866106782108545,-2.3748679161071777,-2.8758280277252197
1718247409.8786695,-0.00299640279263258,-2.3747730255126953,-2.8755743503570557
1718247409.9792662,-0.0030260898638516665,-2.374608039855957,-2.8754382133483887
1718247410.079916,-0.0030382759869098663,-2.374523639678955,-2.875417470932007
1718247410.1803505,-0.0028619933873414993,-2.373513698577881,-2.8738596439361572
1718247410.280783,-0.003036312758922577,-2.37276291847229,-2.8729724884033203
1718247410.3809671,-0.002917917212471366,-2.372406244277954,-2.872713088989258
1718247410.4812927,-0.002888141432777047,-2.3732683658599854,-2.8739328384399414
1718247410.5818,-0.0028579439967870712,-2.373537063598633,-2.8742406368255615
1718247410.6825166,-0.00297342985868454,-2.3734631538391113,-2.873924732208252
1718247410.7828605,-0.0029384875670075417,-2.372920513153076,-2.873474359512329
1718247410.8834136,-0.0029516960494220257,-2.373335599899292,-2.873809576034546
1718247410.9840872,-0.0030359704978764057,-2.373823881149292,-2.8741681575775146
1718247411.0844636,-0.0030587201472371817,-2.37475848197937,-2.8756420612335205
1718247411.184928,-0.0029341476038098335,-2.374372720718384,-2.874939203262329
1718247411.285534,-0.0029237843118608,-2.373885154724121,-2.874688148498535
1718247411.385709,-0.0029449055436998606,-2.3744678497314453,-2.8750298023223877
1718247411.4863253,-0.0030662838835269213,-2.374544620513916,-2.8754348754882812
1718247411.5869164,-0.0030522935558110476,-2.3745882511138916,-2.8751485347747803
1718247411.6872709,-0.0030202006455510855,-2.3753502368927,-2.876508951187134
1718247411.787944,-0.00304695637896657,-2.3764874935150146,-2.877923011779785
